user_id,event,timestamp
655,purchase,2023-02-23 10:12:07
115,view,2023-03-02 04:11:37
26,purchase,2023-01-30 23:13:50
760,view,2023-04-25 20:58:55
282,purchase,2023-11-24 22:38:34
251,login,2023-11-03 01:48:44
229,view,2023-02-09 06:42:00
143,login,2023-07-17 04:00:39
755,click,2023-10-27 09:04:23
105,login,2023-07-29 15:01:41
693,purchase,2023-11-21 07:52:51
759,logout,2023-10-14 20:39:39
914,login,2023-12-10 04:30:53
559,login,2023-07-24 11:37:49
90,login,2023-01-15 15:49:55
605,logout,2023-09-15 01:37:39
433,logout,2023-05-11 18:52:17
33,login,2023-12-07 08:34:21
31,click,2023-10-25 14:30:16
96,logout,2023-08-29 00:28:14
224,logout,2023-02-20 21:27:56
239,logout,2023-08-20 22:44:25
518,view,2023-05-27 07:17:01
617,login,2023-03-01 21:44:23
28,click,2023-03-05 00:15:13
575,logout,2023-03-12 05:36:23
204,view,2023-11-19 20:41:51
734,purchase,2023-09-27 01:47:21
666,purchase,2023-10-27 11:09:09
719,logout,2023-08-31 15:00:11
559,click,2023-11-11 04:50:02
430,click,2023-12-17 13:21:48
226,login,2023-03-06 06:56:12
460,logout,2023-10-08 01:54:45
604,purchase,2023-06-19 23:24:42
285,login,2023-01-17 23:14:34
829,click,2023-06-09 13:28:47
891,login,2023-05-22 11:30:59
7,purchase,2023-09-20 16:09:33
778,click,2023-10-07 11:01:28
826,view,2023-04-03 05:56:30
164,view,2023-06-22 12:13:55
715,logout,2023-08-26 03:09:42
433,login,2023-04-21 15:43:14
349,click,2023-10-20 04:47:38
285,logout,2023-10-18 16:51:57
160,login,2023-11-01 09:32:55
221,purchase,2023-06-24 08:18:42
981,click,2023-04-01 21:03:55
782,login,2023-07-27 09:20:40
345,click,2023-04-03 21:12:43
105,login,2023-05-01 04:26:59
95,purchase,2023-11-11 00:55:14
390,click,2023-11-01 14:51:37
100,view,2023-07-02 03:32:32
368,purchase,2023-12-18 01:39:05
868,login,2023-11-21 07:49:15
353,click,2023-03-17 08:21:42
619,purchase,2023-05-23 20:31:34
271,login,2023-09-21 10:16:40
827,view,2023-08-10 12:41:38
45,view,2023-06-21 02:39:55
748,login,2023-06-29 07:10:09
471,view,2023-10-26 19:41:13
550,purchase,2023-04-20 10:18:10
128,view,2023-10-30 04:38:30
997,logout,2023-05-29 07:18:32
945,view,2023-07-15 07:25:48
388,logout,2023-07-24 20:16:53
81,click,2023-06-12 14:12:06
566,purchase,2023-03-04 22:29:29
301,click,2023-11-14 05:58:41
850,click,2023-03-19 13:19:03
644,view,2023-11-08 04:16:38
634,view,2023-08-23 19:52:18
907,view,2023-02-23 17:58:04
883,click,2023-12-06 00:58:03
371,purchase,2023-04-08 02:11:55
592,purchase,2023-01-21 06:21:03
197,logout,2023-09-07 00:13:18
722,login,2023-07-06 15:25:46
72,purchase,2023-12-06 11:21:37
47,view,2023-05-25 03:56:51
678,logout,2023-08-04 08:41:39
234,view,2023-12-29 20:14:49
792,click,2023-02-09 20:12:20
297,click,2023-10-04 06:44:15
82,view,2023-11-25 12:17:14
876,purchase,2023-07-20 08:37:26
239,login,2023-11-27 13:26:33
888,view,2023-02-18 10:04:51
104,purchase,2023-04-21 16:58:47
390,logout,2023-02-02 13:46:22
285,view,2023-10-24 08:45:51
465,logout,2023-03-04 06:13:09
651,purchase,2023-04-16 22:35:57
855,purchase,2023-06-24 11:57:31
374,purchase,2023-12-18 14:03:55
167,purchase,2023-07-19 08:47:39
380,click,2023-02-27 05:23:20
364,purchase,2023-11-19 17:55:00
215,click,2023-06-19 21:32:23
687,login,2023-02-05 14:49:56
274,click,2023-12-20 14:31:16
719,logout,2023-03-28 05:32:39
960,login,2023-11-14 04:13:33
700,logout,2023-06-25 04:49:03
664,view,2023-12-10 13:20:49
74,view,2023-05-16 18:22:08
624,click,2023-12-28 08:37:37
651,logout,2023-01-11 08:35:03
176,view,2023-06-11 03:07:10
547,view,2023-01-21 16:23:24
747,view,2023-06-03 23:13:07
251,login,2023-07-14 23:02:43
168,login,2023-05-26 05:34:25
474,purchase,2023-04-02 13:36:39
389,logout,2023-05-30 23:19:44
277,view,2023-02-01 16:37:04
948,logout,2023-05-26 14:26:21
656,purchase,2023-03-29 04:51:10
705,click,2023-01-11 22:43:37
571,purchase,2023-05-04 18:21:29
225,view,2023-12-28 11:55:34
702,click,2023-02-08 11:31:17
333,click,2023-11-22 21:41:23
864,purchase,2023-10-05 13:31:35
